2022-05-04 20:51:48.3417 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:54:41.3686 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 20:54:41.4564 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:54:41.5125 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 20:54:41.5125 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:54:42.0214 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 20:54:42.0334 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:55:05.6866 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:55:05.6866 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 20:55:06.7570 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:55:06.7642 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 20:55:07.1293 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 20:55:07.1360 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:55:08.3478 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:55:08.3539 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 20:55:08.6428 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 20:55:08.6428 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:55:09.0838 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:55:09.0905 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 20:55:09.5918 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 20:55:09.5918 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:55:45.1208 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 20:55:45.1208 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:56:21.3281 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:56:21.3281 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 20:56:21.7549 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 20:56:21.7592 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:56:22.8812 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:56:22.8846 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 20:56:24.9462 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 20:56:24.9498 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:56:26.3331 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:56:26.3331 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 20:56:27.3721 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 20:56:27.3721 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:56:31.2672 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:56:31.2672 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 20:56:33.8721 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:56:33.8721 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 20:56:55.9464 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 20:56:55.9597 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 20:56:56.7774 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 20:56:56.7774 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 21:18:40.1053 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 21:18:40.2188 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 21:18:41.8353 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 21:18:41.8511 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 21:19:00.9798 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Attempting to retrieve a list of Book records...
2022-05-04 21:19:01.1210 | INFO | BookStore.Infrastructure.Data.LoggerService | Books - GetBooks: Successfully returned a list of Book records
2022-05-04 21:19:09.8513 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
