2022-05-05 02:32:01.8793 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:32:03.6505 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Attempting to get a single record with id:1
2022-05-05 02:32:03.6505 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Successfully retrieved the Author with id:1
2022-05-05 02:32:08.3004 | INFO | BookStore.Infrastructure.Data.LoggerService | Author update attempted - id: 1
2022-05-05 02:32:08.4207 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:32:08.4207 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:32:39.2644 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - CreateAuthor: Attempting to submit a single record
2022-05-05 02:32:39.2644 | INFO | BookStore.Infrastructure.Data.LoggerService | Successfully submitted an Author object as: BookStore.Core.Entities.Author
2022-05-05 02:32:39.3117 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:32:39.3117 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:32:44.0381 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Attempting to get a single record with id:1
2022-05-05 02:32:44.0444 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Successfully retrieved the Author with id:1
2022-05-05 02:32:45.3444 | INFO | BookStore.Infrastructure.Data.LoggerService | Author deletion attempted with record id: 1
2022-05-05 02:33:14.2160 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Attempting to get a single record with id:1
2022-05-05 02:33:14.2301 | WARN | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Record with id:1 was not found
